Reclassified,Media Channel Off/On (copy),Media Channel (copy 2),Campaign (copy),Week Start,Date,Value
Brand,Online,Paid Search,BAU Priority,Mondays,16/01/2017,342
Brand,Online,Paid Search,BAU Priority,Mondays,23/01/2017,5874
Brand,Online,Paid Search,BAU Priority,Mondays,30/01/2017,2866
Brand,Online,Paid Search,BAU Priority,Mondays,06/02/2017,3936
Brand,Online,Paid Search,BAU Priority,Mondays,13/02/2017,683
Brand,Online,Paid Search,BAU Priority,Mondays,20/02/2017,621
Brand,Online,Paid Search,BAU Priority,Mondays,27/02/2017,1432
Brand,Online,Paid Search,BAU Priority,Mondays,06/03/2017,5829
Brand,Online,Paid Search,BAU Priority,Mondays,13/03/2017,4777
Brand,Online,Paid Search,BAU Priority,Mondays,20/03/2017,2383
Brand,Online,Paid Search,BAU Priority,Mondays,27/03/2017,3448
Brand,Online,Paid Search,BAU Priority,Mondays,03/04/2017,1643
Brand,Online,Paid Search,BAU Priority,Mondays,10/04/2017,1481
Brand,Online,Paid Search,Six Nations Rugby,Mondays,20/02/2017,0
Brand,Online,Paid Search,Six Nations Rugby,Mondays,27/02/2017,1278
Brand,Online,Paid Search,Six Nations Rugby,Mondays,06/03/2017,2160
Brand,Online,Paid Search,Six Nations Rugby,Mondays,13/03/2017,1945
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,Mondays,23/01/2017,5770
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,Mondays,30/01/2017,4910
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,Mondays,06/02/2017,4794
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,Mondays,13/02/2017,4786
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,Mondays,20/02/2017,4869
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,Mondays,27/02/2017,1931
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,Mondays,06/03/2017,2701
