SMB/Brand/Trding,,,,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays,Mondays
Reclassified,Media Channel Off/On (copy),Media Channel (copy 2),Campaign (copy),16-Jan-17,23-Jan-17,30-Jan-17,06-Feb-17,13-Feb-17,20-Feb-17,27-Feb-17,06-Mar-17,13-Mar-17,20-Mar-17,27-Mar-17,03-Apr-17,10-Apr-17,17-Apr-17
Brand,Online,Paid Search,BAU Priority,342,"5,874","2,866","3,936",683,621,"1,432","5,829","4,777","2,383","3,448","1,643","1,481",
Brand,Online,Paid Search,Six Nations Rugby,,,,,,0,"1,278","2,160","1,945",,,,,
Brand,Online,Standard Display,O2_All4Partnership_20161219_20170331_DIS_DRS_GBR_7,,"5,770","4,910","4,794","4,786","4,869","1,931","2,701","4,301","4,373",90,1,,
Brand,Online,Standard Display,O2_O2Priority_20150505_20151231_DIS_DRS_GBR_47444,0,"1,845","1,360",,,,,,,,,,,
Brand,Online,Standard Display,O2_Priority_2015-05-05_2015-12-31_DIS_DRS_Priority,,,0,0,0,0,0,0,0,"4,579",0,0,0,
Trading,Online,Programmatic Audio,Sims Feb/ March,,,,,,,,"6,106","6,106",,,,,
Trading,Offline,OOH,O2 Free Sim - Bigger Bundles,,"7,775",,,,,,,,,,,,
Trading,Offline,OOH,O2 Jan Sale - Jan Pay Day,,"48,846","48,846",,,,,,,,,,,
Trading,Offline,OOH,O2 Jan Sale - iPhone Push,,"23,344","54,469","54,469","31,125",,,,,,,,,
Trading,Offline,OOH,O2 One Plus 3T,,,,,,,,"4,509","41,548","46,719","6,674",,,
Trading,Offline,OOH,O2 Samsung Flagship - Priming,,,,,,,,,,"52,221","28,934",,"36,488","42,569"
Trading,Offline,OOH,O2 Samsung Series A,,,"10,614","42,131","42,131","6,019",,,,,,,,
Brand,Offline,OOH,O2 Slough Station Domination,,917,917,917,917,917,917,917,917,917,917,917,917,917
Trading,Offline,OOH,O2 Sony Handsets,,,,,,,,"27,945","32,603","4,658",,,,
Trading,Offline,OOH,O2 Speed To Refresh Burst 1,,,,,,,,,,,"40,869","47,681","6,812",
Brand,Offline,OOH,O2 T1 Brand - Family,,,,,,,,,,,"52,213","42,569","19,196","15,300"
Brand,Offline,OOH,O2 T1 Brand - Hero,,,,,,,"109,286","248,986","159,942","20,247",,,,
Brand,Offline,OOH,O2 T1 Brand - O10,,,,,,,,"50,481","58,894","8,413",,,,
Brand,Offline,OOH,O2 T1 Brand - War Child,,"7,854","13,379","2,244","12,571","12,571",,,,,,,,
Trading,Offline,Press,CPAYG January,,"36,451",,,,,,,,,,,,
Trading,Offline,Press,January Sale 2016/17 - 06136,,"101,030","13,231","35,377",,,,,,,,,,
Trading,Offline,Press,SMB Jan Sale,,"11,622","37,494",,,,,,,,,,,
Trading,Offline,Press,SMB Simo,,,,"11,401","12,630","15,061","20,556","25,970","12,549","10,729","30,103","10,729",,
Trading,Offline,Press,Samsung A-Series Launch 06477,,"13,408","92,317","42,038",,,,,,,,,,
Trading,Offline,Press,Samsung Dream Launch,,,,,,,,,,,"47,940","38,022","46,333","45,940"
Trading,Offline,Press,Sims Feb/ March,,,"25,547","58,764","9,119",,,"51,753","49,793",,,,,
Brand,Offline,TV,Ethos TV,,,,,,,"351,134","522,216","453,015","453,015","453,015","376,124","136,481",
Trading,Offline,TV,Free Sim Feb,,,"20,253","54,430","25,316",,,,,,,,,
Trading,Offline,TV,SIMO Feb,,,,,"27,586","55,172","17,241",,,,,,,
Trading,Offline,TV,SIMO Jan,,"57,931","17,931",,,,,,,,,,,
Brand,Offline,TV,Warchild TV,,,,,"88,542","36,458",,,,,,,,
Trading,Online,Affiliate,Accessories,3,22,27,21,26,50,15,19,41,216,50,84,,
Trading,Online,Affiliate,Car Wifi,0,0,0,0,0,0,0,0,0,0,0,0,,
Trading,Online,Affiliate,Iphone Upgrade,,,,,0,0,0,0,0,0,0,0,,
Trading,Online,Affiliate,Iphonepaym,,,,,948,"8,551","17,951","5,262","4,665","6,803","8,916","7,524",,
Trading,Online,Affiliate,MBB (Dongles),1,8,12,0,1,6,0,1,6,2,12,0,,
Trading,Online,Affiliate,MBB Tablet sims (contract),0,3,18,0,0,0,0,0,6,36,0,0,,
Trading,Online,Affiliate,MBB Tablets,91,671,833,544,322,371,703,864,498,724,788,696,,
Trading,Online,Affiliate,MBB Upgrades,,0,0,0,0,0,0,0,0,0,0,0,,
Trading,Online,Affiliate,Recycle,146,969,619,418,351,264,215,252,290,260,226,204,,
Trading,Online,Affiliate,SIMO Upgrade,,0,0,0,0,0,0,0,0,0,0,0,,
Trading,Online,Affiliate,Traditional Upgrade,,0,0,0,0,0,0,0,0,0,0,0,,
Trading,Online,Affiliate,Upgrades,0,0,,,,,,,,,,,,
Trading,Online,Affiliate,Wearables,0,15,106,106,66,40,24,0,0,0,1,6,,
Trading,Online,Affiliate,handsetspayg,37,259,263,266,132,94,179,319,249,192,237,342,,
Trading,Online,Affiliate,handsetspaym,"1,770","14,144","23,789","17,523","10,551","6,427","16,061","2,132","3,084","5,616","12,447","7,290",,
Trading,Online,Affiliate,mbbpockethotspot,1,14,50,15,20,16,27,19,16,67,43,6,,
Trading,Online,Affiliate,simpayg,250,"1,714","1,494","1,480","1,893","3,934","3,281","2,077","1,700","1,492","1,295","1,146",,
Trading,Online,Affiliate,simpaym,537,"3,870","4,415","4,010","5,896","6,401","10,597","8,600","8,918","20,836","4,580","3,576",,
SMB,Online,Display - Affiperf,O2_Enterprise16_2016-04-14_2016-12-31_DIS_DRS_Ent_,,,3,5,5,5,2,1,0,0,49,0,72,
SMB,Online,Display - Affiperf,O2_Enterprise2016_20160414_20161231_DIS_DRS_GBR_61,11,158,2,,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_JanSale_2016-12-22_2017-01-31_DIS_DRS_JS_GBR_72,,,"6,703","9,197","1,311",0,,,,,,,,
Trading,Online,Display - Affiperf,O2_JanSale_20161222_20170131_DIS_DRS_GBR_72035_061,"3,555","30,273","11,400",,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_OnePlus3T_20170316_20170329_DIS_DRS_GBR_75497_0,,,,,,,,,"2,497","5,329","2,233",1,,
Trading,Online,Display - Affiperf,O2_OnePlus3T_20170331_20170430_DIS_DRS_GBR_75497_0,,,,,,,,,,,,"2,399","4,285",
Trading,Online,Display - Affiperf,O2_PrecPlus_2016-09-28_2016-12-31_DIS_DRS_PREC_GBR,,,"9,125","14,625","11,848","15,001","1,931","2,701","29,122","41,285","28,933","12,883","6,051",
Trading,Online,Display - Affiperf,O2_PrecProgPAYGHandsets_20170405_20181231_DIS_DRS_,,,,,,,,,,,,,0,
Trading,Online,Display - Affiperf,O2_PrecProgPAYMHandsetsAndroid_DIS_DRS_GBR_76038,,,,,,,,,,,,,"7,591",
Trading,Online,Display - Affiperf,O2_PrecProgPAYMHandsetsiPhone_DIS_DRS_GBR_76052,,,,,,,,,,,,"4,887","15,454",
Trading,Online,Display - Affiperf,O2_PrecProgPAYMSIM_20170227_20181231_DIS_GBR_74935,,,,,,,,0,0,453,"11,588","18,915","15,592",
Trading,Online,Display - Affiperf,O2_PrecProgPAYMTablets_20170411_20181231_DIS_DRS_G,,,,,,,,,,,,,0,
Trading,Online,Display - Affiperf,O2_PrecRTG2016_2016-04-06_2017-04-30_DIS_DRS_PREC_,,,,,,,,,,,90,213,169,
Trading,Online,Display - Affiperf,O2_PrecRTG_2015-06-05_2015-12-31_DIS_DRS_PREC_GBR_,,,10,15,16,13,15,13,13,11,8,5,0,
Trading,Online,Display - Affiperf,O2_PrecisionPlus_20160928_20161231_DIS_DRS_GBR_686,"2,458","15,253","4,519",,,,,,,,,,,
Trading,Online,Display - Affiperf,O2_PrecisionRe-Targeting_20150605_20151231_DIS_DRS,2,13,4,,,,,,,,,,,
